statuses_count,followers_count,friends_count,favourites_count,listed_count,Target
106,44,176,3448,0,1
21,10,56,98,2,1
24,4,588,16,0,0
656,57,693,597,0,0
1234,15,104,1150,0,0
573,14,227,530,0,0
675,18,519,653,0,0
1333,73,1998,1262,1,0
99,26,1548,80,0,0
553,63,1930,497,0,0
1576,8,501,1402,1,0
1378,48,1998,1108,0,0
1444,35,390,1283,0,0
1351,7,328,1273,1,0
43,17,641,0,0,0
50,20,630,0,0,0
68,22,602,0,0,0
60,14,592,0,0,0
52,27,620,0,0,0
67,32,639,0,0,0
44,21,614,0,0,0
66,23,650,0,0,0
56,20,643,0,0,0
65,23,641,0,0,0
79,20,779,0,0,0
59,16,622,0,0,0
64,15,649,0,0,0
81,29,756,0,0,0
62,25,600,0,0,0
70,22,621,0,0,0
52,19,735,0,0,0
69,25,625,0,0,0
57,20,621,0,0,0
45,12,638,0,0,0
57,16,631,0,0,0
66,29,623,0,0,0
56,19,686,0,0,0
59,24,619,0,0,0
58,23,603,0,0,0
57,27,602,0,0,0
55,21,614,0,0,0
59,16,599,0,0,0
63,20,663,0,0,0
62,24,598,0,0,0
54,16,637,0,0,0
56,17,684,0,0,0
42,21,609,0,0,0
78,28,732,0,0,0
62,16,630,0,0,0
59,17,654,0,0,0
54,18,638,0,0,0
63,27,652,0,0,0
48,23,599,0,0,0
69,20,652,0,0,0
61,22,609,0,0,0
81,23,807,0,0,0
64,24,638,0,0,0
63,26,593,0,0,0
62,22,671,0,0,0
57,29,673,0,0,0
63,20,630,0,0,0
66,20,722,0,0,0
61,17,610,0,0,0
70,24,655,0,0,0
60,12,572,0,0,0
70,27,669,0,0,0
65,20,610,0,0,0
62,42,651,0,0,0
83,27,801,0,0,0
54,31,599,0,0,0
158,30,1221,0,0,0
53,22,589,0,0,0
66,30,748,0,0,0
61,23,721,0,0,0
56,27,585,0,0,0
67,21,639,0,0,0
53,26,504,0,0,0
81,26,703,0,0,0
66,11,615,0,0,0
56,23,641,0,0,0
66,22,581,0,0,0
56,19,681,1,0,0
64,19,594,0,0,0
58,35,665,0,0,0
72,25,564,0,0,0
77,21,581,0,0,0
60,19,606,0,0,0
60,28,579,0,0,0
65,27,617,0,0,0
66,25,731,0,0,0
69,24,645,0,0,0
63,32,603,0,0,0
59,13,542,0,0,0
57,13,568,0,0,0
75,22,578,0,0,0
61,18,624,0,0,0
72,34,685,0,0,0
56,19,599,0,0,0
45,26,596,0,0,0
54,26,629,0,0,0
52,18,608,0,0,0
53,11,586,0,0,0
63,31,507,0,0,0
54,24,672,0,0,0
54,17,558,0,0,0
65,25,742,0,0,0
46,16,591,0,0,0
48,28,582,0,0,0
58,15,616,0,0,0
61,23,635,0,0,0
60,18,625,0,0,0
61,16,688,0,0,0
80,23,589,0,0,0
56,21,550,0,0,0
70,26,709,1,0,0
71,20,528,0,0,0
58,19,583,0,0,0
107,33,1002,0,0,0
68,30,560,0,0,0
54,24,592,0,0,0
37,23,559,0,0,0
53,22,622,0,0,0
67,24,678,0,0,0
46,24,589,0,0,0
60,27,566,0,0,0
58,26,559,0,0,0
48,20,590,0,0,0
65,23,590,0,0,0
56,22,541,0,0,0
55,27,617,0,0,0
75,21,592,0,0,0
50,23,556,0,0,0
51,12,503,0,0,0
45,22,509,0,0,0
45,27,702,0,0,0
78,25,752,0,0,0
55,34,574,0,0,0
39,24,526,0,0,0
